School,Faculty Type,Salary Type,Salary Mean,,,,,,
Amherst,All Fac_2020,Real ,"115,573",,,,,,
Bates,All Fac_2020,Real ,"101,539",,,,,,
Bowdoin,All Fac_2020,Real ,"114,601",,,,,,
Carleton,All Fac_2020,Real ,"117,620",,,,,,
Claremont McKenna,All Fac_2020,Real ,"138,183",,,,,,
Colby,All Fac_2020,Real ,"111,341",,,,,,
Colgate,All Fac_2020,Real ,"109,417",,,,,,
Davidson,All Fac_2020,Real ,"102,411",,,,,,
Furman,All Fac_2020,Real ,"87,947",,,,,,
Grinnell,All Fac_2020,Real ,"109,613",,,,,,
Hamilton,All Fac_2020,Real ,"107,611",,,,,,
Haverford,All Fac_2020,Real ,"100,983",,,,,,
Macalester,All Fac_2020,Real ,"98,937",,,,,,
Middlebury,All Fac_2020,Real ,"112,177",,,,,,
Oberlin,All Fac_2020,Real ,"97,483",,,,,,
Pomona,All Fac_2020,Real ,"126,433",,,,,,
Swarthmore,All Fac_2020,Real ,"123,619",,,,,,
Vassar,All Fac_2020,Real ,"111,749",,,,,,
Washington and Lee,All Fac_2020,Real ,"118,672",,,,,,
Wesleyan,All Fac_2020,Real ,"111,714",,,,,,
Williams,All Fac_2020,Real ,"122,391",,,,,,
Amherst,Full_2020,Real ,"155,833",,,,,,
Bates,Full_2020,Real ,"134,487",,,,,,
Bowdoin,Full_2020,Real ,"146,857",,,,,,
Carleton,Full_2020,Real ,"141,305",,,,,,
Claremont McKenna,Full_2020,Real ,"176,098",,,,,,
Colby,Full_2020,Real ,"145,971",,,,,,
Colgate,Full_2020,Real ,"151,654",,,,,,
Davidson,Full_2020,Real ,"134,729",,,,,,
Furman,Full_2020,Real ,"102,723",,,,,,
Grinnell,Full_2020,Real ,"139,558",,,,,,
Hamilton,Full_2020,Real ,"142,149",,,,,,
Haverford,Full_2020,Real ,"131,176",,,,,,
Macalester,Full_2020,Real ,"126,583",,,,,,
Middlebury,Full_2020,Real ,"140,387",,,,,,
Oberlin,Full_2020,Real ,"122,742",,,,,,
Pomona,Full_2020,Real ,"160,491",,,,,,
Swarthmore,Full_2020,Real ,"156,329",,,,,,
Vassar,Full_2020,Real ,"142,788",,,,,,
Washington and Lee,Full_2020,Real ,"143,853",,,,,,
Wesleyan,Full_2020,Real ,"158,455",,,,,,
Williams,Full_2020,Real ,"149,903",,,,,,
Amherst,Assoc_2020,Real ,"110,986",,,,,,
Bates,Assoc_2020,Real ,"105,217",,,,,,
Bowdoin,Assoc_2020,Real ,"113,680",,,,,,
Carleton,Assoc_2020,Real ,"107,210",,,,,,
Claremont McKenna,Assoc_2020,Real ,"128,042",,,,,,
Colby,Assoc_2020,Real ,"105,841",,,,,,
Colgate,Assoc_2020,Real ,"108,479",,,,,,
Davidson,Assoc_2020,Real ,"98,243",,,,,,
Furman,Assoc_2020,Real ,"82,983",,,,,,
Grinnell,Assoc_2020,Real ,"105,908",,,,,,
Hamilton,Assoc_2020,Real ,"108,150",,,,,,
Haverford,Assoc_2020,Real ,"101,031",,,,,,
Macalester,Assoc_2020,Real ,"95,133",,,,,,
Middlebury,Assoc_2020,Real ,"104,368",,,,,,
Oberlin,Assoc_2020,Real ,"94,994",,,,,,
Pomona,Assoc_2020,Real ,"120,016",,,,,,
Swarthmore,Assoc_2020,Real ,"111,489",,,,,,
Vassar,Assoc_2020,Real ,"111,493",,,,,,
Washington and Lee,Assoc_2020,Real ,"115,712",,,,,,
Wesleyan,Assoc_2020,Real ,"111,008",,,,,,
Williams,Assoc_2020,Real ,"106,040",,,,,,
Amherst,Assist_2020,Real ,"93,329",,,,,,
Bates,Assist_2020,Real ,"85,862",,,,,,
Bowdoin,Assist_2020,Real ,"91,352",,,,,,
Carleton,Assist_2020,Real ,"88,514",,,,,,
Claremont McKenna,Assist_2020,Real ,"108,670",,,,,,
Colby,Assist_2020,Real ,"88,084",,,,,,
Colgate,Assist_2020,Real ,"92,464",,,,,,
Davidson,Assist_2020,Real ,"79,877",,,,,,
Furman,Assist_2020,Real ,"70,364",,,,,,
Grinnell,Assist_2020,Real ,"87,727",,,,,,
Hamilton,Assist_2020,Real ,"88,383",,,,,,
Haverford,Assist_2020,Real ,"84,959",,,,,,
Macalester,Assist_2020,Real ,"79,775",,,,,,
Middlebury,Assist_2020,Real ,"90,234",,,,,,
Oberlin,Assist_2020,Real ,"72,109",,,,,,
Pomona,Assist_2020,Real ,"98,629",,,,,,
Swarthmore,Assist_2020,Real ,"87,690",,,,,,
Vassar,Assist_2020,Real ,"89,258",,,,,,
Washington and Lee,Assist_2020,Real ,"95,154",,,,,,
Wesleyan,Assist_2020,Real ,"91,207",,,,,,
Williams,Assist_2020,Real ,"93,837",,,,,,
Amherst,All Fac_2020,COLA-Adjusted,"125,628",,,,,,
Bates,All Fac_2020,COLA-Adjusted,"115,652",,,,,,
Bowdoin,All Fac_2020,COLA-Adjusted,"107,266",,,,,,
Carleton,All Fac_2020,COLA-Adjusted,"114,797",,,,,,
Claremont McKenna,All Fac_2020,COLA-Adjusted,"47,397",,,,,,
Colby,All Fac_2020,COLA-Adjusted,"135,057",,,,,,
Colgate,All Fac_2020,COLA-Adjusted,"126,268",,,,,,
Davidson,All Fac_2020,COLA-Adjusted,"85,206",,,,,,
Furman,All Fac_2020,COLA-Adjusted,"97,885",,,,,,
Grinnell,All Fac_2020,COLA-Adjusted,"132,413",,,,,,
Hamilton,All Fac_2020,COLA-Adjusted,"133,976",,,,,,
Haverford,All Fac_2020,COLA-Adjusted,"29,891",,,,,,
Macalester,All Fac_2020,COLA-Adjusted,"100,322",,,,,,
Middlebury,All Fac_2020,COLA-Adjusted,"115,318",,,,,,
Oberlin,All Fac_2020,COLA-Adjusted,"119,806",,,,,,
Pomona,All Fac_2020,COLA-Adjusted,"43,367",,,,,,
Swarthmore,All Fac_2020,COLA-Adjusted,"108,290",,,,,,
Vassar,All Fac_2020,COLA-Adjusted,"108,956",,,,,,
Washington and Lee,All Fac_2020,COLA-Adjusted,"135,642",,,,,,
Wesleyan,All Fac_2020,COLA-Adjusted,"108,809",,,,,,
Williams,All Fac_2020,COLA-Adjusted,"121,289",,,,,,
Amherst,Full_2020,COLA-Adjusted,"142,275",,,,,,
Bates,Full_2020,COLA-Adjusted,"153,181",,,,,,
Bowdoin,Full_2020,COLA-Adjusted,"137,458",,,,,,
Carleton,Full_2020,COLA-Adjusted,"137,914",,,,,,
Claremont McKenna,Full_2020,COLA-Adjusted,"60,402",,,,,,
Colby,Full_2020,COLA-Adjusted,"177,063",,,,,,
Colgate,Full_2020,COLA-Adjusted,"175,008",,,,,,
Davidson,Full_2020,COLA-Adjusted,"112,095",,,,,,
Furman,Full_2020,COLA-Adjusted,"114,331",,,,,,
Grinnell,Full_2020,COLA-Adjusted,"168,586",,,,,,
Hamilton,Full_2020,COLA-Adjusted,"176,976",,,,,,
Haverford,Full_2020,COLA-Adjusted,"38,828",,,,,,
Macalester,Full_2020,COLA-Adjusted,"128,355",,,,,,
Middlebury,Full_2020,COLA-Adjusted,"144,318",,,,,,
Oberlin,Full_2020,COLA-Adjusted,"150,850",,,,,,
Pomona,Full_2020,COLA-Adjusted,"55,048",,,,,,
Swarthmore,Full_2020,COLA-Adjusted,"136,944",,,,,,
Vassar,Full_2020,COLA-Adjusted,"139,219",,,,,,
Washington and Lee,Full_2020,COLA-Adjusted,"164,424",,,,,,
Wesleyan,Full_2020,COLA-Adjusted,"154,335",,,,,,
Williams,Full_2020,COLA-Adjusted,"148,554",,,,,,
Amherst,Assoc_2020,COLA-Adjusted,"101,330",,,,,,
Bates,Assoc_2020,COLA-Adjusted,"119,842",,,,,,
Bowdoin,Assoc_2020,COLA-Adjusted,"106,405",,,,,,
Carleton,Assoc_2020,COLA-Adjusted,"104,637",,,,,,
Claremont McKenna,Assoc_2020,COLA-Adjusted,"43,918",,,,,,
Colby,Assoc_2020,COLA-Adjusted,"128,386",,,,,,
Colgate,Assoc_2020,COLA-Adjusted,"125,185",,,,,,
Davidson,Assoc_2020,COLA-Adjusted,"81,738",,,,,,
Furman,Assoc_2020,COLA-Adjusted,"92,360",,,,,,
Grinnell,Assoc_2020,COLA-Adjusted,"127,936",,,,,,
Hamilton,Assoc_2020,COLA-Adjusted,"134,647",,,,,,
Haverford,Assoc_2020,COLA-Adjusted,"29,905",,,,,,
Macalester,Assoc_2020,COLA-Adjusted,"96,465",,,,,,
Middlebury,Assoc_2020,COLA-Adjusted,"107,290",,,,,,
Oberlin,Assoc_2020,COLA-Adjusted,"116,748",,,,,,
Pomona,Assoc_2020,COLA-Adjusted,"41,166",,,,,,
Swarthmore,Assoc_2020,COLA-Adjusted,"97,665",,,,,,
Vassar,Assoc_2020,COLA-Adjusted,"108,706",,,,,,
Washington and Lee,Assoc_2020,COLA-Adjusted,"132,259",,,,,,
Wesleyan,Assoc_2020,COLA-Adjusted,"108,121",,,,,,
Williams,Assoc_2020,COLA-Adjusted,"105,085",,,,,,
Amherst,Assist_2020,COLA-Adjusted,"85,859",,,,,,
Bates,Assist_2020,COLA-Adjusted,"85,862",,,,,,
Bowdoin,Assist_2020,COLA-Adjusted,"85,506",,,,,,
Carleton,Assist_2020,COLA-Adjusted,"86,389",,,,,,
Claremont McKenna,Assist_2020,COLA-Adjusted,"37,274",,,,,,
Colby,Assist_2020,COLA-Adjusted,"106,846",,,,,,
Colgate,Assist_2020,COLA-Adjusted,"106,704",,,,,,
Davidson,Assist_2020,COLA-Adjusted,"66,458",,,,,,
Furman,Assist_2020,COLA-Adjusted,"78,315",,,,,,
Grinnell,Assist_2020,COLA-Adjusted,"105,974",,,,,,
Hamilton,Assist_2020,COLA-Adjusted,"110,037",,,,,,
Haverford,Assist_2020,COLA-Adjusted,"25,148",,,,,,
Macalester,Assist_2020,COLA-Adjusted,"80,892",,,,,,
Middlebury,Assist_2020,COLA-Adjusted,"92,761",,,,,,
Oberlin,Assist_2020,COLA-Adjusted,"88,623",,,,,,
Pomona,Assist_2020,COLA-Adjusted,"33,830",,,,,,
Swarthmore,Assist_2020,COLA-Adjusted,"76,816",,,,,,
Vassar,Assist_2020,COLA-Adjusted,"87,026",,,,,,
Washington and Lee,Assist_2020,COLA-Adjusted,"108,761",,,,,,
Wesleyan,Assist_2020,COLA-Adjusted,"88,836",,,,,,
Williams,Assist_2020,COLA-Adjusted,"92,993",,,,,,